,Unnamed: 0,alive,dead,MCMC_iter,BH_NS,sim_num,system_num,inclination,dincl,ratio
152,744-10.0-68.95,28.82003364,21.102206826000003,3,0.1,3,744,68.95,10.0,0.5772984820188137
153,744-20.0-68.95,26.9217553,23.012134745999997,3,0.1,3,744,68.95,20.0,0.5391479669458797
154,744-24.0-68.95,26.59056232,23.315863796,3,0.1,3,744,68.95,24.0,0.5328083854009947
155,744-17.0-68.95,27.177032790000005,22.725476846,3,0.1,3,744,68.95,17.0,0.5446025257694517
156,744-9.0-68.95,29.291877330000005,20.645590905999995,3,0.1,3,744,68.95,9.0,0.5865711331533513
157,744-40.0-68.95,27.739748186,22.189972735,3,0.1,3,744,68.95,40.0,0.5555758709304723
158,744-3.0-68.95,40.379183113,9.530047019999994,3,0.1,3,744,68.95,3.0,0.8090524138600422
159,744-1.0-68.95,49.9689445,0.0,3,0.1,3,744,68.95,1.0,1.0
160,744-32.0-68.95,26.225417449999995,23.722131346000012,3,0.1,3,744,68.95,32.0,0.5250591486904004
161,744-36.0-68.95,26.098641789999995,23.860788596000003,3,0.1,3,744,68.95,36.0,0.5223967044530906
162,744-29.0-68.95,26.30594776999999,23.629778556000012,3,0.1,3,744,68.95,29.0,0.5267961378645912
163,744-38.0-68.95,26.02401679,23.882168546000003,3,0.1,3,744,68.95,38.0,0.5214587453396781
164,744-25.0-68.95,26.51302741000001,23.399229715999994,3,0.1,3,744,68.95,25.0,0.5311927157104862
165,744-35.0-68.95,26.10161773,23.854836716000005,3,0.1,3,744,68.95,35.0,0.5224873946611707
166,744-34.0-68.95,26.11999846,23.833483856000004,3,0.1,3,744,68.95,34.0,0.5228864385223012
167,744-39.0-68.95,26.02102989,23.888142346,3,0.1,3,744,68.95,39.0,0.5213676910319656
168,744-16.0-68.95,27.394104480000006,22.553635326,3,0.1,3,744,68.95,16.0,0.5484553372464968
169,744-37.0-68.95,26.03645438,23.866747616000005,3,0.1,3,744,68.95,37.0,0.5217391537738791
170,744-33.0-68.95,26.182180679999995,23.768333086000013,3,0.1,3,744,68.95,33.0,0.5241623900537639
171,744-15.0-68.95,27.57821736000001,22.352690575999993,3,0.1,3,744,68.95,15.0,0.5523275762449378
172,744-30.0-68.95,26.293508039999992,23.645168486000014,3,0.1,3,744,68.95,30.0,0.5265159165023241
173,744-23.0-68.95,26.7054062,23.254480056000013,3,0.1,3,744,68.95,23.0,0.5345369695831278
174,744-31.0-68.95,26.27220728999999,23.672380586000013,3,0.1,3,744,68.95,31.0,0.5260271113904744
175,744-44.0-68.95,32.871927182000015,17.08751789699999,3,0.1,3,744,68.95,44.0,0.657972223871186
176,744-45.0-68.95,33.458094956000004,16.448941164999994,3,0.1,3,744,68.95,45.0,0.6704083743799288
177,744-41.0-68.95,29.82728659000001,20.12912311799999,3,0.1,3,744,68.95,41.0,0.5970662576502868
178,744-42.0-68.95,31.02438320400001,18.876647005999978,3,0.1,3,744,68.95,42.0,0.6217182906533028
179,744-43.0-68.95,32.051064252000025,17.887033801999976,3,0.1,3,744,68.95,43.0,0.6418158780765332
180,982-8.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,8.0,0.0
181,982-35.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,35.0,0.0
182,982-14.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,14.0,0.0
183,982-9.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,9.0,0.0
184,982-30.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,30.0,0.0
185,982-21.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,21.0,0.0
186,982-27.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,27.0,0.0
187,982-16.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,16.0,0.0
188,982-4.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,4.0,0.0
189,982-2.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,2.0,0.0
190,982-23.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,23.0,0.0
191,982-5.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,5.0,0.0
192,982-22.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,22.0,0.0
193,982-38.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,38.0,0.0
194,982-3.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,3.0,0.0
195,982-26.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,26.0,0.0
196,982-37.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,37.0,0.0
197,982-39.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,39.0,0.0
198,982-25.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,25.0,0.0
199,982-33.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,33.0,0.0
200,982-6.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,6.0,0.0
201,982-1.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,1.0,0.0
202,982-10.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,10.0,0.0
203,982-18.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,18.0,0.0
204,982-28.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,28.0,0.0
205,982-20.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,20.0,0.0
206,982-7.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,7.0,0.0
207,982-40.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,40.0,0.0
208,982-15.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,15.0,0.0
209,982-19.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,19.0,0.0
210,982-32.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,32.0,0.0
211,982-11.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,11.0,0.0
212,982-12.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,12.0,0.0
213,982-13.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,13.0,0.0
214,982-17.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,17.0,0.0
215,982-34.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,34.0,0.0
216,982-24.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,24.0,0.0
217,982-29.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,29.0,0.0
218,982-31.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,31.0,0.0
219,982-36.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,36.0,0.0
220,982-45.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,45.0,0.0
221,982-43.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,43.0,0.0
222,982-44.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,44.0,0.0
223,982-41.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,41.0,0.0
224,982-42.0-80.27,0.0,49.9689445,3,0.1,5,982,80.27,42.0,0.0
225,653-3.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,3.0,0.0
226,653-11.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,11.0,0.0
227,653-6.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,6.0,0.0
228,653-14.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,14.0,0.0
229,653-24.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,24.0,0.0
230,653-5.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,5.0,0.0
231,653-21.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,21.0,0.0
232,653-4.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,4.0,0.0
233,653-9.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,9.0,0.0
234,653-10.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,10.0,0.0
235,653-25.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,25.0,0.0
236,653-8.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,8.0,0.0
237,653-20.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,20.0,0.0
238,653-12.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,12.0,0.0
239,653-16.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,16.0,0.0
240,653-1.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,1.0,0.0
241,653-30.0-57.97,2.2818836600000054,47.627121216000006,3,0.1,6,653,57.97,30.0,0.045720880744254365
242,653-23.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,23.0,0.0
243,653-13.0-57.97,0.0,49.9689445,3,0.1,6,653,57.97,13.0,0.0
