,Alive,BH_ratio,Dead,Trans
383,232,0.25,104,164
384,250,0.30000000000000004,89,161
385,283,0.35000000000000003,88,129
386,284,0.4,85,131
387,326,0.45,65,109
388,305,0.5,65,130
389,328,0.55,71,101
390,341,0.6000000000000001,71,88
391,353,0.65,44,103
392,375,0.7000000000000001,42,83
393,388,0.75,35,77
394,406,0.8,36,58
395,420,0.8500000000000001,31,49
396,434,0.9,20,46
397,458,0.9500000000000001,9,33
398,472,1.0,8,20
399,182,0.0,136,182
400,179,0.05,127,194
401,201,0.1,123,176
402,202,0.15000000000000002,136,162
403,221,0.2,125,154
404,256,0.25,100,144
405,256,0.30000000000000004,95,149
406,283,0.35000000000000003,104,113
407,278,0.4,92,130
408,302,0.45,72,126
409,303,0.5,69,128
410,329,0.55,58,113
411,357,0.6000000000000001,49,94
412,360,0.65,53,87
413,385,0.7000000000000001,43,72
414,412,0.75,31,57
415,401,0.8,41,58
416,429,0.8500000000000001,24,47
417,439,0.9,27,34
418,459,0.9500000000000001,12,29
419,470,1.0,7,23
420,163,0.0,121,216
421,183,0.05,136,181
422,194,0.1,133,173
423,202,0.15000000000000002,110,188
424,231,0.2,110,159
425,245,0.25,90,165
426,257,0.30000000000000004,100,143
427,257,0.35000000000000003,99,144
428,302,0.4,88,110
429,292,0.45,89,119
430,314,0.5,74,112
431,333,0.55,61,106
432,367,0.6000000000000001,49,84
433,369,0.65,57,74
434,381,0.7000000000000001,42,77
435,414,0.75,27,59
